name,otherNames,scientificName,popularity
Blesbok,,Damaliscus pygargus phillipsi,50
Blesmol,"[""Mole-rats"", ""African mole-rats""]",,50
Blind mole rats,,Spalax,50
Blue whale,,Balaenoptera musculus,90
Blue wildebeest,"[""Common wildebeest"", ""White-bearded wildebeest"", ""Brindled gnu""]",Connochaetes taurinus,70
Blue-black plated lizard,,,50
Blue-spotted girdled lizard,,Ninurta coeruleopunctatus,50
Bluebuck,,Hippotragus leucophaeus,40
Bobtail squid,,Sepiolida,40
Bolosauridae,,,
Bongo,,,50
Bontebok,,Damaliscus pygargus pygarus,50
Bony fish,,Osteichthyes,60
Bop clade subclade 1,,,
Bop clade,,,
Boreoeutheria,,,
Borhyaenoidea,,,
Borophagus,,,10
Boryaceae,,,10
Bos primigenius,,,
Bos,,,
Boselaphini,,,
Bottlenose dolphin,,Tursiops,80
Bovid,,Bovidae,30
Bovinae,,,
Bovini,,,
Bowenia,,,50
Bowhead whale,,Balaena,50
Brachiopod,,,10
Brachiosauridae subclade 1,,,
Brachiosauridae,,,
Brachiosaurus,,,60
Brachychampsa,,,10
Brachyelytrum,,,30
Brachylophosaurini,,,
Brachylophosaurus,,,20
Brachypodium,,,30
Brachypterygius,,,10
Brachyrhinodon,,,10
Brachyrostra,,,
Brachytrachelopan,,,10
Bradysaurus,,,20
Brandt's vole,,Lasiopodomys brandtii,50
Brasenia,,,50
Brazilian guinea pig,,Cavia aperea,50
Brevirostres,,,
Brodiaeoideae,,,10
Broiliellus,,,10
Bromeliaceae,,,
Bromeliad clade,,,
Bromelioideae,,,
Bromus,,,30
Brontosaurus,,,80
Brontotheriidae,"[""Titanotheriidae""]",,
Brontotheriina,,,
Brontotheriinae,,,
Brontotheriini,,,
Brontotherioidea,,,
Brookesia,,,10
Broomistega,,,10
Brush-furred mouse,,Lophuromys,50
Brygmophyseter,,,
Bryozoa,"[""Polyzoa"", ""Ectoprocta"", ""moss animals""]",,10
Bubalus,,,
Buenaspis,,,10
Buitreraptor,,,10
Bunny rat,,Reithrodon auritus,50
Bunostegos,,,10
Bur-reed,,Sparganium,55
Burbidgea,,,40
Burmanniaceae,,,10
Burnetia,,,10
Burnetiamorpha subclade 1,,,
Burnetiamorpha,,,
Burnetiidae subclade 1,,,
Burnetiidae,,,
Bush vlei rat,,,50
Bushpig,,Potamochoerus larvatus,50
Byronosaurus,,,10
Cabomba,,,50
Cabombaceae,,,
Cacomistle,,Bassariscus sumichrasti,30
Cacops,,,10
Caecilian,,Apoda,50
Caenagnathasia,,,10
Caenagnathidae subclade 1,,,
Caenagnathidae subclade 2,,,
Caenagnathidae subclade 3,,,
Caenagnathidae,,,
Caenagnathoidea,,,
Caiman,,Caimaninae,50
California rock lizard,,Petrosaurus,50
Californosaurus,,,10
Callitroideae,,,10
Callospermarion,,,10
Callovosaurus,,,10
Calycanthaceae,,,10
Camarasaurus,,,40
Camel,,Camelus,80
Camelinae,,,
Camelini,,,
Camelops,,,10
Camptosaurus,,,10
Canada onion,"[""Canadian garlic"", ""wild garlic"", ""meadow garlic"", ""wild onion""]",Allium canadense,50
Cane rat,,Thryonomys,50
Canellales,,,10
Canidae,,,
Caniformia,"[""Canoidea""]",,50
Caninae,,,
Canini,,,
Canis lupus,,,
Canis,,,
Canna,,,30
Cannariae,,,
Cape grass lizard,,Chamaesaura anguina,55
Cape grysbok,,Raphicerus melanotis,50
Capitosauria subclade 1,,,
Capitosauria subclade 2,,,
Capitosauria subclade 3,,,
Capitosauria subclade 4,,,
Capitosauria subclade 5,,,
Capitosauria subclade 6,,,
Capitosauria subclade 7,,,
Capitosauria subclade 8,,,
Capitosauria,,,
Capra caucasica,,,
Capra,,,
Caprinae,,,
Caprini,,,
Captorhinidae subclade 1,,,
Captorhinidae,,,
Captorhinus,,,10
Capybara,,Hydrochoerus hydrochaeris,65
Carcharodontosauria,,,
Carcharodontosauridae subclade 1,,,10
Carcharodontosauridae subclade 2,,,
Carcharodontosauridae,,,
Carcharodontosaurinae,,,
Carcharodontosaurus,,,40
Carnivora,,,60
Carnosauria,,,
Carnotaurinae subclade 1,,,
Carnotaurinae,,,
Carnotaurini,,,
Carnotaurus,,,40
Carpolestes,,,10
Cartilaginous fish,,Chondrichthyes,40
Casea,,,10
Caseasauria,,,
Caseidae subclade 1,,,
Caseidae,,,
Castoridae,,,
Castorimorpha,,,
Castorocauda,,,10
Cat,,Felis catus,90
Catarrhini,,,
Cathaya,,,50
Cathaymyrus,,,10
Catkin-yews,,Amentotaxus,50
Catopsbaatar,,,10
Cattle,"[""Cow""]",,85
Caudata,,,
Caudipteryx,,,10
Caudofoveata,,,10
Cavia,,,
Caviidae,,,
Caviinae,,,
Cavioidea,,,
Caviomorpha,,,
Caypullisaurus,,,10
Cedar,,,60
Cellular life,,,50
Centipede,,Chilopoda,70
Centothecoid clade,,,10
Centrolepidaceae,,,10
Centrosaurinae subclade 1,,,
Centrosaurinae subclade 2,,,
Centrosaurinae subclade 3,,,
Centrosaurinae subclade 4,,,
Centrosaurinae subclade 5,,,
Centrosaurinae subclade 6,,,
Centrosaurinae,,,
Centrosaurus,,,10
Cephalochordata,,,
Cephalopod,,,40
Cephalotaxaceae,,,
Cerapoda,,,
Cerasinops,,,10
Ceratomorpha,,,
Ceratophyllum,"[""coontails"", ""hornworts""]",,50
Ceratopsia subclade 1,,,
Ceratopsia,"[""Ceratopia""]",,
Ceratopsidae,,,
Ceratosauria subclade 1,,,
Ceratosauria,,,
Ceratosaurus,,,40
Ceratosuchus,,,10
Ceratozamia,,,50
Ceresiosaurus,,,10
Cetacea subclade 1,,,
Cetacea subclade 2,,,
Cetacea subclade 3,,,
Cetacea subclade 4,,,
Cetacea subclade 5,,,
Cetacea subclade 6,,,
Cetacea,,,
Cetartiodactyla,,,20
Cetiosaurus,,,10
Cetotheriidae,,,
Cetotherium,,,10
Cetruminantia,,,
Chacaicosaurus,,,10
Chainosauria subclade 1,,,
Chainosauria,,,
Chalarodon madagascariensis,,,50
Chalicothere,,Chalicotheriidae,
Chamaecyparis,"[""cypress"", ""false cypress""]",,50
Chamitataxus,,,10
Chamois,,Rupicapra spp.,50
Chaohusaurus,,,10
Chaos,,,
Chaoyangsaurus,,,10
Chapalmalania,,,10
Charassognathus,,,
Charonosaurus,,,10
Charophyceae,,,
Chasmosaurinae subclade 1,,,
Chasmosaurinae subclade 10,,,
Chasmosaurinae subclade 2,,,
Chasmosaurinae subclade 3,,,
Chasmosaurinae subclade 4,,,
Chasmosaurinae subclade 5,,,
Chasmosaurinae subclade 6,,,
Chasmosaurinae subclade 7,,,10
Chasmosaurinae subclade 8,,,
Chasmosaurinae subclade 9,,,
Chasmosaurinae,,,
Chasmosaurus,,,20
Chelicerata,,,
Cheloniellon,,,10
Chenoprosopus,,,10
Cherninia,,,10
Chestnut white-bellied rat,,Niviventer fulvescens,50
Chevrotain,"[""mouse-deer""]",,30
Chialingosaurus,,,10
Chilantaisaurus,,,10
Chilean rock rat,,Aconaemys fuscus,50
Chimpanzee,,Pan,80
Chinchilla rat,,Abrocomidae,50
Chinchilla,,,65
Chinchillidae,,,
Chinchilloidea,,,
Chindesaurus,,,10
Chinese arborvitae,,Platycladus,55
Chinese crocodile lizard,,,10
Chinese water dragon,,,55
Chiton,,Polyplacophora,10
Chloranthaceae,,,
